professional_roles.name;created_at;salary.from;salary.to;employer.name;experience.name
Дата-сайентист;2023-10-02T13:32:38+0300;;200000.0;Темполайн Логистика;От 1 года до 3 лет
Программист, разработчик;2023-10-02T11:20:51+0300;250000.0;390000.0;Контур;От 3 до 6 лет
Дата-сайентист;2023-10-02T09:20:02+0300;;;Циан;От 3 до 6 лет
Руководитель группы разработки;2023-10-02T11:59:01+0300;;;МойОфис;От 3 до 6 лет
Программист, разработчик;2023-10-01T16:40:40+0300;;;Bright Pattern, Inc;Более 6 лет
Другое;2023-10-02T10:58:58+0300;;;СберОбразование;От 1 года до 3 лет
Дата-сайентист;2023-10-01T13:56:50+0300;;;Novel Software Systems;От 3 до 6 лет
Дата-сайентист;2023-10-01T16:04:41+0300;;;ДСЛАБ;От 3 до 6 лет
Дата-сайентист;2023-10-02T12:59:34+0300;;;ГАУ Города Москвы Центр цифровизации образования;От 1 года до 3 лет
Дата-сайентист;2023-09-30T10:23:48+0300;;;Aviasales.ru;От 3 до 6 лет
Дата-сайентист;2023-10-02T11:33:49+0300;;;Docet TI;Более 6 лет
Дата-сайентист;2023-10-01T15:38:33+0300;;;VK;От 1 года до 3 лет
Дата-сайентист;2023-10-02T13:34:30+0300;220000.0;340000.0;LATOKEN;От 3 до 6 лет
Менеджер продукта;2023-10-02T11:38:39+0300;;;HeadHunter;От 3 до 6 лет
Программист, разработчик;2023-09-29T15:19:44+0300;;;ИВ РОШЕ;От 1 года до 3 лет
DevOps-инженер;2023-10-02T11:25:40+0300;;350000.0;Точка;От 3 до 6 лет
Дата-сайентист;2023-09-29T16:30:47+0300;;;Softintermob LLC;От 3 до 6 лет
DevOps-инженер;2023-10-02T11:23:43+0300;;;Data World;От 1 года до 3 лет
Программист, разработчик;2023-09-29T13:21:15+0300;;;Программный Продукт, ИТ-компания;От 3 до 6 лет
DevOps-инженер;2023-10-02T09:41:41+0300;;;РОСБАНК;От 3 до 6 лет
Программист, разработчик;2023-09-29T17:34:00+0300;;;Brand Analytics;Более 6 лет
Системный администратор;2023-10-02T15:28:40+0300;;;Неофлекс;От 1 года до 3 лет
Программист, разработчик;2023-10-01T12:51:36+0300;;;Compound Solutions SL;От 1 года до 3 лет
