name,id,u,v,length
Avenue Princesse Alice,4097656,21912089,7265761724,17.115
Avenue Princesse Alice,4097656,7265761724,1079750744,5.248
Avenue Princesse Alice,4097656,1079750744,2104793864,3.14
Avenue Princesse Alice,4097656,2104793864,6340961560,5.44
Avenue Princesse Alice,4097656,6340961560,1110560507,4.753
Avenue Princesse Alice,4097656,1110560507,21912093,6.984
Avenue Princesse Alice,4097656,21912093,6340961559,5.97
Avenue Princesse Alice,4097656,6340961559,21912095,5.519
Avenue Princesse Alice,4097656,21912095,7265762803,5.633
Avenue Princesse Alice,4097656,7265762803,2104793866,5.584
Avenue Princesse Alice,4097656,2104793866,6340961561,4.674
Avenue Princesse Alice,4097656,6340961561,5603088200,4.059
Avenue Princesse Alice,4097656,5603088200,6340961562,3.378
Avenue Princesse Alice,4097656,6340961562,21912097,5.03
Avenue Princesse Alice,4097656,21912097,10665602337,8.547
Avenue Princesse Alice,4097656,10665602337,11146701059,26.036
Avenue Princesse Alice,4097656,11146701059,21912099,7.644
Boulevard d'Italie,4098197,21918500,10723812919,12.043
Boulevard d'Italie,4098197,10723812919,1204288480,13.172
Boulevard d'Italie,4098197,1204288480,21918536,10.595
Boulevard d'Italie,4098197,21918536,10723812918,11.503
Boulevard d'Italie,4098197,10723812918,1204288459,19.276
Boulevard d'Italie,4098197,1204288459,1204288412,66.139
Boulevard d'Italie,4098197,1204288412,2189614142,20.578
Boulevard d'Italie,4098197,2189614142,4939150467,15.028
Boulevard d'Italie,4098197,4939150467,21918572,19.921
Boulevard d'Italie,4098197,21918572,4939150464,9.594
Boulevard d'Italie,4098197,4939150464,21918589,4.497
Boulevard d'Italie,4098197,21918589,4939150465,5.557
Boulevard d'Italie,4098197,4939150465,4939150466,4.666
Boulevard d'Italie,4098197,4939150466,2189614147,8.556
Boulevard d'Italie,4098197,2189614147,3419930599,8.103
Boulevard d'Italie,4098197,3419930599,3419930601,3.827
Boulevard d'Italie,4098197,3419930601,10068880356,6.89
Boulevard d'Italie,4098197,10068880356,1868736643,6.327
Boulevard d'Italie,4098197,1868736643,1868736564,6.714
Boulevard d'Italie,4098197,1868736564,10068880357,6.993
Boulevard d'Italie,4098197,10068880357,1868736555,6.771
Boulevard d'Italie,4098197,1868736555,1868736582,12.393
Boulevard d'Italie,4098197,1868736582,1868736741,3.536
Avenue des Papalins,4224972,25177418,4939779378,5.202
Avenue des Papalins,4224972,4939779378,4939779381,5.894
Avenue des Papalins,4224972,4939779381,4939779386,9.64
Avenue des Papalins,4224972,4939779386,25177397,13.678
Boulevard Albert 1er,4226740,25192130,6444966483,3.641
Boulevard Albert 1er,4226740,6444966483,1737389127,7.026
Boulevard Albert 1er,4226740,1737389127,6444966484,5.48
Boulevard Albert 1er,4226740,6444966484,6444966485,5.44
Boulevard Albert 1er,4226740,6444966485,6340961554,6.848
Boulevard Albert 1er,4226740,6340961554,6444966486,1.526
Boulevard Albert 1er,4226740,6444966486,6444966487,5.617
Boulevard Albert 1er,4226740,6444966487,1074585009,9.486
Rue des Remparts,4227157,25182821,9847754767,18.724
Rue des Remparts,4227157,9847754767,25182851,7.378
Rue des Remparts,4227157,25182851,25182882,17.031
Rue des Remparts,4227157,25182882,280483717,7.329
Rue des Remparts,4227157,280483717,1074584928,11.174
Rue des Remparts,4227157,1074584928,25182927,20.216
Rue des Remparts,4227157,25182927,280484776,15.655
Rue des Remparts,4227157,280484776,1074584922,14.522
Rue des Remparts,4227157,1074584922,1074584641,6.448
Rue des Remparts,4227157,1074584641,25182943,9.856
Rue des Remparts,4227157,25182943,25182997,30.031
Rue des Remparts,4227157,25182997,1074584541,21.306
Rue des Remparts,4227157,1074584541,1790048488,12.577
Rue des Remparts,4227157,1790048488,7932125562,4.992
