code,description,name,prerequisites
PSYC 1,"This course provides an overview of the basic concepts in psychology. Topics may include human information processing, learning and memory, motivation, development, language acquisition, social psychology, and personality. ",Psychology,[]
PSYC 2,"This course provides an introduction to the basic concepts of cognitive psychology. Topics include perception, attention, memory, language, and thought. The relation of cognitive psychology to cognitive science and to neuropsychology is also covered. ",General Psychology: Biological Foundations,[]
PSYC 3,"This course provides an introduction to behavioral psychology. Topics include classical conditioning, operant conditioning, animal learning, and motivation and behavior modification. ",General Psychology: Cognitive Foundations,[]
PSYC 4,"This course provides an introduction to social psychology. Topics may include emotion, aesthetics, behavioral medicine, person perception, attitudes and attitude change, and behavior in social organizations. ",General Psychology: Behavioral Foundations,[]
PSYC 6,"This course provides an introduction to theories and research results in developmental psychology, covering infancy through adulthood. ",General Psychology: Social Foundations,[]
PSYC 7,"This course provides an introduction to both descriptive and inferential statistics, core tools in the process of scientific discovery and the interpretation of research. ",General Psychology: Developmental Foundations,[]
PSYC 60,"This course provides an overview of how to choose appropriate research methods for experimental and nonexperimental studies. Topics may include classic experimental design and counterbalancing, statistical power, and causal inference in experimental and nonexperimental settings. ",Introduction to Statistics,['PSYC 60']
PSYC 70,"This course provides hands-on research experience. Lecture topics will include experimental and nonexperimental designs, research ethics, data analysis, and causal inference. Students will design original research projects, collect and analyze data, and write a full APA-style report, including a brief literature review relevant to their design. This course builds on PSYC 70 by applying design principles to students’ own research questions and ideas. ",Research Methods in Psychology,['PSYC 70']
PSYC 71,"This course provides students the opportunity to learn about the intricate relationship that exists between brain and behavior, as well as the evolutionary forces that shape this interaction. Lectures for this course aim to introduce students to some of the best examples in the literature that highlight these issues, while a parallel component of the course aims to introduce students to performing research on the topic. ",Laboratory in Psychological Research Methods,"['COGS 14B', 'PSYC 60']"
PSYC 81,"The Freshman Seminar Program is designed to provide new students with the opportunity to explore an intellectual topic with a faculty member in a small seminar setting. Freshman Seminars are offered in all campus departments and undergraduate colleges, and topics vary from quarter to quarter. Enrollment is limited to fifteen to twenty students, with preference given to entering freshmen.","Laboratory in Brain, Behavior, and Evolution",[]
PSYC 87,"This course provides an overview of how to practice well-being, with principles based on mindfulness, positive psychology, cognitive therapy, and neuroscience. Each week, there is a short lecture on a given topic, combined with workshop-style exercises. ",Freshman Seminar,[]
PSYC 88,"This seminar introduces the various subdisciplines in psychology and their research methods, and also explores career and graduate school opportunities. This includes informal presentations by faculty, graduate students, and other professionals. ",Learning Sustainable Well-being,[]
PSYC 90,Selected topics in the field of psychology. May be repeated for credit as topics vary. ,Undergraduate Seminar,[]
PSYC 93,Independent study or research under direction of a member of the faculty. May be taken up to three times for a maximum of twelve units. ,Topics in Psychology,[]
PSYC 99,"This course provides a comprehensive overview of the causes, characteristics, and treatment of psychological disorders. Particular emphasis is given to the interaction between biological, psychological, and sociocultural processes contributing to abnormal behavior. Students may not receive credit for both PSYC 163 and PSYC 100. ",Independent Study,[]
PSYC 100,"This course provides a comprehensive overview of the field of developmental psychology, including topics in cognitive, language, and social development.  ",Clinical Psychology,[]
PSYC 101,"This course provides a comprehensive overview of the neural mechanisms that support vision, audition, touch, olfaction, and taste. ",Developmental Psychology,[]
PSYC 102,"This course provides a comprehensive overview of the field of social psychology, covering a review of the field’s founding principles, classic findings, and a survey of recent findings. Topics will include social perception, attributions and attitudes, stereotypies, social influence, group dynamics, and aggressive and prosocial tendencies. ",Sensory Neuroscience ,[]
PSYC 104,"This course provides a comprehensive overview of cognitive psychology, the scientific study of mental processes: how people acquire, store, transform, use, and communicate information. Topics may include perception, attention, language, memory, reasoning, problem solving, decision-making, and creativity. ",Social Psychology,[]
PSYC 105,"This course provides a comprehensive overview of human and animal behavior from a neuroscience perspective. Topics include the functions and mechanisms of perception, motivation (sex, sleep, hunger, emotions), learning and memory, and motor control and movement. ",Cognitive Psychology,[]
PSYC 106,"This course provides a comprehensive overview of neuroanatomy and major methods and results from neuroimaging and neuropsychological studies of behavior. Topics include attention, motor control, executive function, memory, learning, emotion, and language. ",Behavioral Neuroscience ,[]
PSYC 108,"This course provides research seminars by a range of departmental faculty, exposing students to contemporary research problems in many areas of psychology. Class discussions will follow faculty presentations. Must be taken for a letter grade for the Psychology Honors Program. ",Cognitive Neuroscience,[]
